DATE,UNRATE
2017-10-01,4.2
2017-11-01,4.2
2017-12-01,4.1
2018-01-01,4.0
2018-02-01,4.1
2018-03-01,4.0
2018-04-01,4.0
2018-05-01,3.8
2018-06-01,4.0
2018-07-01,3.8
2018-08-01,3.8
2018-09-01,3.7
2018-10-01,3.8
2018-11-01,3.8
2018-12-01,3.9
2019-01-01,4.0
2019-02-01,3.8
2019-03-01,3.8
2019-04-01,3.6
2019-05-01,3.6
2019-06-01,3.6
2019-07-01,3.7
2019-08-01,3.7
2019-09-01,3.5
2019-10-01,3.6
2019-11-01,3.6
2019-12-01,3.6
2020-01-01,3.5
2020-02-01,3.5
2020-03-01,4.4
2020-04-01,14.7
2020-05-01,13.2
2020-06-01,11.0
2020-07-01,10.2
2020-08-01,8.4
2020-09-01,7.9
2020-10-01,6.9
2020-11-01,6.7
2020-12-01,6.7
2021-01-01,6.4
2021-02-01,6.2
2021-03-01,6.0
2021-04-01,6.0
2021-05-01,5.8
2021-06-01,5.9
2021-07-01,5.4
2021-08-01,5.2
2021-09-01,4.7
2021-10-01,4.6
2021-11-01,4.2
2021-12-01,3.9
2022-01-01,4.0
2022-02-01,3.8
2022-03-01,3.6
2022-04-01,3.6
2022-05-01,3.6
2022-06-01,3.6
2022-07-01,3.5
2022-08-01,3.7
2022-09-01,3.5
2022-10-01,3.7
